"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"View","Zoom In","Ctrl+=","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Git","Commit...","Ctrl+1","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Refactor - C++","Toggle Function - Refactoring ","Alt+Shift+T","C/C++ Editor"
"Edit","Select Next C/C++ Element","Alt+Shift+Right","C/C++ Editor"
"C/C++ Source","Find Declaration","Ctrl+G","C/C++ Editor"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"File","Close All","Ctrl+Shift+F4","In Windows"
"File","Save","Ctrl+S","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"C/C++ Source","Find References","Ctrl+Shift+G","In C/C++ Views"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Navigate","Next Sub-Tab","Alt+Right","In Dialogs and Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Android Refactorings","Extract Android String","Alt+Shift+A, S","In Windows"
"File","Rename","F2","In Windows"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","C/C++ Editor"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Run/Debug","Resume","F8","Debugging"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Text Editing","Select Line End","Shift+End","Editing Text"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"C/C++ Source","Open Element","Ctrl+Shift+T","In C/C++ Views"
"Navigate","Next","Ctrl+.","In Windows"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Project","Make Target Build","Shift+F9","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"C/C++ Source","Find Declaration","Ctrl+G","In C/C++ Views"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Project","Build All","Ctrl+B","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Edit","Find Next","Ctrl+K","Editing Text"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","C/C++ Editor"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Edit","Restore Last C/C++ Selection","Alt+Shift+Down","C/C++ Editor"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"File","New","Ctrl+N","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Next Page","Alt+F7","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"C/C++ Source","Add Block Comment","Ctrl+Shift+/","C/C++ Editor"
"Text Editing","Line End","End","Editing Text"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Refactor - C++","Extract Function - Refactoring ","Alt+Shift+M","C/C++ Editor"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"View","Zoom Out","Ctrl+-","In Windows"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In C/C++ Views"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Select Previous C/C++ Element","Alt+Shift+Left","C/C++ Editor"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"File","Print","Ctrl+P","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"C/C++ Source","Show Source Quick Menu","Alt+Shift+S","C/C++ Editor"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Select Enclosing C/C++ Element","Alt+Shift+Up","C/C++ Editor"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"C/C++ Source","Add Include","Ctrl+Shift+N","C/C++ Editor"
"File","Save All","Ctrl+Shift+S","In Windows"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","In C/C++ Views"
"C/C++ Source","Surround With Quick Menu","Alt+Shift+Z","C/C++ Editor"
"C/C++ Source","Toggle Mark Occurrences","Alt+Shift+O","C/C++ Editor"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Navigate","Matching Bracket","Ctrl+Shift+P","Editing in Structured Text Editors"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Run/Debug","Run Android Application","Alt+Shift+A, R","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"C/C++ Source","Find References","Ctrl+Shift+G","C/C++ Editor"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"C/C++ Source","Go to Previous Member","Ctrl+Shift+Up","C/C++ Editor"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"File","Close","Ctrl+W","In Windows"
"C/C++ Source","Go to Next Member","Ctrl+Shift+Down","C/C++ Editor"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Edit","Delete","Delete","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Run/Debug","Run Ant Build","Ctrl+Alt+Shift+Z","In Windows"
"Window","Previous Editor","Ctrl+Shift+Tab","In Windows"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"C/C++ Source","Remove Block Comment","Ctrl+Shift+\","C/C++ Editor"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"C/C++ Source","Go to Matching Bracket","Ctrl+Shift+P","C/C++ Editor"
"Project","Rebuild Last Target","F9","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Window","Quick Access","Ctrl+3","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Run/Debug","Debug Android Application","Alt+Shift+A, D","In Windows"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"C/C++ Source","Open Element","Ctrl+Shift+T","C/C++ Editor"
"Run/Debug","Step Into","F5","Debugging"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Refactor - C++","Extract Local Variable - Refactoring ","Alt+Shift+L","C/C++ Editor"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Navigate","Previous Sub-Tab","Alt+Left","In Dialogs and Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","Debug","F11","In Windows"
"C/C++ Source","Format","Ctrl+Shift+F","C/C++ Editor"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"File","Properties","Alt+Enter","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
